Symbol,Holder,Shares,Date Reported,% Out,Value
TSLA,"Vanguard Group, Inc. (The)",217857401,2022-12-30,0.0687,34898577598
TSLA,Blackrock Inc.,177731918,2022-12-30,0.056100000000000004,28470876378
TSLA,State Street Corporation,98998366,2022-12-30,0.031200000000000002,15858548491
TSLA,"Geode Capital Management, LLC",49109751,2022-12-30,0.0155,7866891132
TSLA,Capital World Investors,48431324,2022-12-30,0.015300000000000001,7758213909
TSLA,"FMR, LLC",32082159,2022-12-30,0.0101,5139241128
TSLA,Norges Bank Investment Management,28085245,2022-12-30,0.0089,4498975465
TSLA,Baillie Gifford and Company,26814338,2022-12-30,0.0085,4295388869
TSLA,Northern Trust Corporation,26726286,2022-12-30,0.0084,4281283819
TSLA,JP Morgan Chase & Company,25541796,2022-12-30,0.008100000000000001,4091540363
